subject_id,topic_id,atomic_topic_id,question_id,question,a,b,c,answer,aolution,image_q,image_a,difficulty,question_type,Mock,Session
3,26,172,Q1935,A company's net income available to ordinary shareholders divided by the average total book value of equity is best described the:,Company's intrinsic value,Company's return on equity,Minimum required rate of return of investors in the company's equity,B,"The correct Answer is B. Return on equity (ROE) measures a company's profitability by revealing how much profit a company generates with the money shareholders have invested, computed as net income divided by shareholder equity.",,,Easy,Conceptual,,2
3,23,160,Q1936,A world equity index is most likely considered a:,Style index,Sector index,Multi-market index,C,"The correct Answer is C. Multi-market indexes represent a range of securities from different geographical regions and economic development levels, providing a diversified snapshot of global investment environments without regional bias.",,,Easy,Conceptual,,2
3,25,164,Q1937,"In contrast to the market value of an equity security, intrinsic value is most likely:",Not known with certainty,Constant throughout the life of the security,Determined by the intersection of supply and demand,A,"The correct Answer is A. Market value represents the current price at which an asset can be bought or sold in the market, whereas intrinsic value is a theoretical value based on an in-depth understanding of an asset's fundamental characteristics.",,,Medium,Conceptual,,2
3,24,161,Q1938,Short sellers are most likely exposed to:,Unlimited gains and limited losses,Limited gains and unlimited losses,Unlimited gains and unlimited losses,B,"The correct Answer is B. Short selling involves borrowing shares to sell them at current prices with the hope of buying them back at lower prices, making a profit on the difference.",,,Medium,Conceptual,,2
3,22,156,Q1939,In which markets are government bills most likely traded?,Money markets,Capital markets,Alternative investment markets,A,"The correct Answer is A. Money market instruments include short-term debt securities like repurchase agreements, which are less risky and offer lower returns compared to other financial instruments.",,,Easy,Conceptual,,2
3,29,183,Q1940,Enterprise value is most likely associated with:,Multiplier models,Present value models,Asset-based valuation models,A,"The correct Answer is A. Multiplier models, such as P/E or EV/EBITDA, are based on comparing market value to key financial metrics like earnings or cash flows to determine an asset's value relative to its peers.",,,Medium,Conceptual,C,2
3,26,169,Q1941,A characteristic of real assets is that they most likely:,Trade in liquid markets,Are inexpensive to manage,Are unique assets with different attributes,C,"The correct Answer is C. Real assets, such as real estate, are unique with no two properties being identical, differing in location, condition, and other attributes.",,,Medium,Conceptual,,2
3,29,180,Q1942,"If a European investor believes the US equity market will decline in the next three months, the transaction most likely to allow the investor to profit from this view is the purchase of a:",Put option,Call option,Currency swap,A,"The correct Answer is A. Option holders will exercise calls if the market price exceeds the strike price and puts if it falls below, allowing them to buy or sell the underlying asset at a favorable price.",,,Medium,Conceptual,,2
3,24,161,Q1943,"If the ability of clients to identify competent agents increases, the need for regulation most likely:",Decreases,Remains the same,Increases,A,The correct Answer is A. Effective regulation is essential in markets where it's difficult for customers to assess the quality and performance of financial agents on their own.,,,Easy,Conceptual,C,2
3,25,164,Q1944,The book value of a company’s equity is:,The present value of its future cash flows,The difference between its total assets and total liabilities,Its share price multiplied by the number of outstanding shares,B,The correct Answer is B. The book value of equity is the difference between total assets and total liabilities on a company’s balance sheet.,,,Medium,Conceptual,C,2
3,25,168,Q1945,A company's ROE most likely decreases if shareholders' equity increases at:,A lower rate than net income,The same rate as net income,A higher rate than net income,C,"The correct Answer is C. Return on equity (ROE) increases if net income increases relative to shareholders' equity, reflecting higher profitability or efficiency.",,,Medium,Conceptual,,2
3,23,160,Q1946,An equity index representing groups of securities classified on the basis of market capitalization is most likely a:,Style index,Sector index,Multi-market index,A,"The correct Answer is A. Style indexes classify securities into categories like growth, value, or size, reflecting their market characteristics and investment philosophy.",,,Easy,Conceptual,E,2
3,24,162,Q1947,The January effect is an example of:,Loss aversion,An earnings surprise,A market pricing anomaly,C,"The correct Answer is C. The January effect is an observed anomaly where stock prices increase in January, historically seen as a result of tax-related selling and bonus-related buying in December.",,,Easy,Conceptual,E,2
3,29,180,Q1948,An investor gathers the following data regarding three stocks. the investor should purchase : The Investor should purchase :,Stock 1,Stock 2,Stock 3,B,"The correct Answer is B. The expected rate of return for a stock must meet or exceed the investor's required rate of return, accounting for the cost of equity and the risks involved. If it doesn’t, the stock's price will adjust in the market.",EQ1,,Medium,Conceptual,,2
3,24,163,Q1949,Behavioral finance:,suggests that behavioral biases only affect novice investors,provides a possible explanation for a number of pricing anomalies,relies on the assumption that people consider all available information in decision-making,B,"The correct Answer is B. Behavioral finance studies the influence of psychology on investors, particularly how cognitive biases impact market outcomes.",,,Medium,Conceptual,,2
3,24,161,Q1950,"An analyst gathers and estimates the following information about a company's stock: Dividend per share ($0.54), Current EPS ($4), Dividend growth rate (4%)",8.35%,8.52%,9.44%,B,The correct Answer is B. The Gordon growth model is a method to determine the intrinsic value of a stock based on a future series of dividends that grow at a constant rate.,,EQ3,Difficult,Calculative,,2
3,29,182,Q1951,The first date that a share trades without the declared dividend is the:,ex-date,payable date,declaration date,A,"The correct Answer is A. The ex-dividend date marks when a declared dividend belongs to the seller rather than the buyer, affecting the stock price by reducing it by the dividend amount on this date.",,,Medium,Conceptual,E,2
3,25,165,Q1952,"A $25 par value non-callable, non-convertible preferred share pays an annual dividend rate of 5%. If the required rate of return is 4%, the preferred share's intrinsic value is closest to:",$25.25,$26.00,$31.25,C,"The correct Answer is C. Intrinsic value is calculated based on expected future cash flows discounted back to their present value, which helps investors determine whether a stock is under or overvalued compared to the market price. Intrinsic Value = $1.25 / 0.04 = $31.25",,,Medium,Calculative,C,2
3,22,156,Q1953,"An investor buys a security on margin posting 50% of the initial price as equity. All else being equal, if the price declines 25%, the investor's new leverage ratio is closest to:",2,3,4,B,The correct Answer is B,,IU1,Difficult,Calculative,C,2
3,29,180,Q1954,"When using a multiplier model, the fundamental variable is stated on:",a trailing basis only,a forward basis only,either a forward basis or a trailing basis,C,The correct Answer is C,,LK1,Medium,Conceptual,,2
3,22,157,Q1955,Order matching rules in order-driven trading systems are used to:,match buy orders to sell orders,determine the prices at which the orders submitted by dealers are matched,determine the prices at which the orders submitted by customers are matched,A,"Correct because it emphasizes the function of order matching systems in financial markets, which ensure that buy orders are systematically matched with sell orders.",,,Medium,Conceptual,E,2
3,22,157,Q1956,Which of the following is an objective of market regulation?,Controlling agency problems only,Ensuring that long-term liabilities are funded only,Both controlling agency problems and ensuring that long-term liabilities are funded,C,"Correct as it outlines key objectives of market regulation such as controlling fraud, managing agency problems, and ensuring the viability of financial institutions over the long term.",,,Medium,Conceptual,,2
3,29,180,Q1957,"An analyst gathers the following information about a company and its historical price multiples. If the share price is $30, the company's shares are most likely overvalued based on:",P/B,P/E,P/CF,A,"Correct due to the P/B value analysis showing the stock is overvalued compared to its benchmark ratio, indicating that the market price is higher than the actual value reflected by the company's fundamentals.",EQ5,EQ8,Medium,Calculative,C,2
3,27,175,Q1958,Porter's five determinants of the intensity of competition in an industry do not include the:,power of buyers,threat of substitutes,position of a company in its life-cycle stage,C,"Correct as it explains the importance of a company's market position and competitive strategy within its industry, guided by Porter’s Five Forces analysis. Life cycle stage is not a part of it .",,,Medium,Conceptual,,2
3,22,156,Q1959,"A trader reports the following information about an equity investment which was sold after 1 year: Number of shares purchased 2,000, Leverage ratio 3, Purchase price per share $12.00, Sale price per share $9.50, Call money rate per year 3%. The trader's equity value as a result of the trade is closest to:",$460,"$2,520","$3,000",B,The Correct answer is B. Remaining equity can be calculated as :,,KV3,Difficult,Calculative,,2
3,29,180,Q1960,"If a security's intrinsic value is $55 per share and is currently selling for $50 per share, the security is:",undervalued,fairly valued,overvalued,A,"Correct because it identifies a stock as undervalued when the market price is below its intrinsic value, which can be estimated using models like the dividend discount model.",,,Medium,Conceptual,,2
3,25,165,Q1961,Convertible preference shares:,are popular in financing venture capital and private equity transactions,are subject to more price volatility than the underlying common shares,do not increase in value due to an increase in price of the underlying common shares,A,Correct due to its emphasis on the strategic use of convertible preference shares in venture capital to manage investment risk and funding timelines before a company goes public.,,,Medium,Conceptual,,2
3,22,156,Q1962,"If the price of a stock bought on 30% margin increases by 40%, the return on equity to the buyer is closest to:",52%,75%,133%,C,The Correct answer is C.,,LN5,Medium,Calculative,C,2
3,24,162,Q1963,The size effect anomaly results when it is observed that on a risk-adjusted basis small cap companies tend to:,underperform equities of large-cap companies,perform in line with equities of large-cap companies,outperform equities of large-cap companies,C,"The Correct answer is C.Identifying the size effect where smaller-cap companies often outperform larger ones on a risk-adjusted basis, reflecting their potential for higher relative returns.",,,Medium,Conceptual,,2
3,27,175,Q1964,"Within Porter’s five forces framework, the power of buyers within an industry is most likely influenced by the:",industry concentration,availability of lower priced alternative brands,number of customers for the industry’s products,C,The correct answer is C .,,JHU,Medium,Conceptual,,2
4,20,22,Q1965,Which of the following statements most likely reflects one of the six components of the CFA Code of Ethics? Candidates must:,place the integrity of the investment profession above their own interests.,promote the viability of the global capital markets for their employer's benefit.,ignore unprofessional conduct displayed by others within the profession.,A,"The correct Answer is A. CFA charterholders and candidates must prioritize the integrity of the investment profession and the interests of clients above their own personal interests, ensuring that their actions contribute positively to their professional reputation and client trust.",,,Medium,Conceptual,,1
4,15,23,Q1966,A profession is most likely described as a group of people that:,has a common level of basic knowledge about a particular subject.,monitors its members based on an agreed-on code of ethics.,puts the interests of its members first.,B,"The correct Answer is B. A profession is defined by a common set of ethical standards agreed upon by its members, who also possess specialized knowledge and skills aimed at serving others, distinguishing it from other types of occupations.",,,Easy,Conceptual,E,1
4,15,23,Q1967,Most societies would least likely consider ethical principles to include:,justice.,duplicity.,diligence.,B,"The correct Answer is B. Societies recognize honesty, fairness, justice, diligence, and respect for the rights of others as core ethical principles, making actions such as duplicity or deception clear violations of these principles.",,,Easy,Conceptual,,1
4,17,38,Q1968,"Tibor Figezcky, CFA, is an equity trader at Global Investment Bank (GB). Figezcky traded the bank's investment portfolio profitably for the past three years and earned significant bonuses for his efforts. Subsequently, internal auditors of GB formally accused Figezcky of exceeding his trading authority and engaging in unauthorized trades.According to CFA Institute Code of Ethics and standard of Professional Conduct , Figeczky Should most likely :",disclose the complaint to CFA Institute.,refuse further bonuses until the issue is resolved.,request a temporary suspension of his CFA Institute membership.,A,"The correct Answer is A. Members and candidates are required to disclose all personal matters that could question their professional conduct, including involvement in civil litigation or criminal investigations, to uphold transparency and integrity.",,,Difficult,Conceptual,,1
4,16,31,Q1969,"Dennis Kim, CFA, works at Century Growth Partners (CGP) where he manages an investment account for his client Amelia Frost. Frost tells Kim to invest one percent of her portfolio in biotech stocks. Kim believes such an investment is inconsistent with Frost’s investment policy statement. CGP has no policy regarding execution of unsolicited trading requests. Kim discusses his concerns with Frost, but she does not change her instruction.Without amending Frost's investment policy statement , Kim executes the trade afterward . Has Kim violated the Standards ?",No,"Yes , because Kim executes an unsuitable trade for Frost","Yes, because Kim does not change Frost's investment policy statement before executing the trade",A,The correct Answer is A.,,FRT1,Medium,Conceptual,C,1
4,18,43,Q1970,"Which of the following is a recommended procedure for compliance with the Standard relating to loyalty, prudence, and care? Members should:",eliminate all actual and potential conflicts of interest.,make their clients aware of all forms of manager compensation.,"submit to each client, at least annually, an itemized statement showing the funds and securities in custody",B,"The correct Answer is B. For Standard III (A), Loyalty, Prudence, and Care, members and candidates are advised to always act in the best interests of their clients, which includes being transparent about all forms of compensation that might influence their recommendations.",,,Easy,Conceptual,E,1
4,17,39,Q1971,"According to the Standards, a member who is asked to contribute to a research report is required to:",avoid cash compensation.,disclose the nature of their compensation in the report.,decline to write the report if the member's firm provides investment banking services to the issuer.,B,"The correct Answer is B. Standard I (B), Independence and Objectivity, requires members to disclose any conflicts of interest, including personal compensation that might influence their professional judgment, to maintain independence and objectivity in their research and advisory roles.",,,Medium,Conceptual,A,1
4,17,38,Q1972,"Ann Jules, CFA, discovered that her employer, Plutus Investments Inc. (PII), inflates investment performance in PII's marketing brochure. In accordance with firm policy, Jules uses PII's marketing brochure to present to prospective clients. In addition, Jules emails stock recommendations to her clients in capsule form and offers additional information only upon request. Jules has most likely violated the Standards:",by emailing stock recommendations to her clients in capsule form.,only by using PII's marketing brochure to present to prospective clients.,both by emailing stock recommendations to her clients in capsule form and by using PII's marketing brochure to present to prospective clients.,B,"The correct Answer is B. Standard I(C), Misrepresentation, mandates that members and candidates must not misrepresent or omit critical information related to investment analysis and recommendations, ensuring integrity in all professional activities.",,,Difficult,Conceptual,,1
4,14,29,Q1973,"Maria Jennings, CFA, overhears the CEO of United Retail saying that the quarterly report to be released next week will miss analysts' expectations. Jennings immediately calls her brother who owns the stock to tell him what she overheard. One week later, Jennings writes a report on another company, KTD retail. She uses public and nonmaterial nonpublic information for her analysis to issue a ""buy"" recommendation. Has Jennings most likely violated the Standards?",No.,"Yes, by calling her brother to tell him what she overheard.","Yes, by using public and nonmaterial nonpublic information for her analysis to issue a ""buy"" recommendation.",B,The correct Answer is B.,,FRT2,Difficult,Conceptual,C,1
4,18,41,Q1974,"According to the Standards, which of the following is most likely considered material nonpublic information?",The recent execution of a large buy order from a hedge fund.,Significant legal challenges revealed at an internal meeting of the company's management.,Recent increases in a company’s board remuneration discussed at the annual general meeting.,B,The correct Answer is B. Standard II(A) also emphasizes the importance of safeguarding material nonpublic information by restricting its use to those activities that do not compromise the integrity of financial markets.,,,Medium,Conceptual,C,1
4,16,33,Q1975,"According to the Standard relating to fair dealing, when members disseminate investment recommendations, they are most likely required to make every effort to treat individual clients in an:",fair and equal manner.,fair and impartial manner.,equal and impartial manner.,B,"The correct Answer is B. Standard III (B), Fair Dealing, emphasizes the need for members to treat all clients fairly and equitably without discrimination, ensuring that all clients have equal access to investment recommendations.",,,Easy,Conceptual,E,1
4,13,49,Q1976,"According to the recommended procedure for compliance with the Standard relating to fair dealing, a member who works in a large firm should:",offer different levels of service to clients selectively based on the clients investment needs,disclose to clients and prospective clients how she selects accounts to participate in order,inform all firm staff of the content of upcoming investment recommendations to assure that all clients' investment needs are met.,B,"The correct Answer is B. According to Standard III (B), Fair Dealing, members must also clearly disclose how investment opportunities are allocated among clients to avoid any perceptions of unfair advantage or favoritism in order executions.",,,Medium,Conceptual,D,1
4,14,28,Q1977,"Which of the following statements is accurate according to the Standards? Statement 1: A member, prior to leaving his current employer, may contact potential clients for purposes of soliciting their business for their new employer. Statement 2: A member, while still employed, is free to make arrangements outside of normal working hours to apply for a license with the local regulator to set up a competing business.",Statement 1 only.,Statement 2 only.,Both Statement 1 and Statement 2.,B,The correct Answer is B.,,FRT3,Difficult,Conceptual,C,1
4,15,25,Q1978,"According to the Standard relating to disclosure of conflicts, buy-side members should disclose to clients their:",beneficial ownership in any security.,firm’s procedures for reporting requirements for personal transactions.,firm’s policies on blackout periods during which the member cannot trade for clients.,B,"The correct Answer is B. Standard VI(A), Disclosure of Conflicts, requires members to clearly disclose any potential conflicts that could influence their professional activities, including personal transactions.",,,Easy,Conceptual,E,1
4,19,46,Q1979,"Michael Mak, CFA, is a portfolio manager at an investment firm. After comprehensive research, Mak buys Advance One Tech's (AOT) stock for all his clients for whom the investment is suitable. He then buys AOT shares for his brother's fee-paying account, in which Mak has beneficial ownership. AOT's stock price declines significantly after a month, resulting in substantial losses for all his clients.Are Mark's action consistent with the standard ?",Yes,"No, Mak's actions are not consistent with the Standard relating to priority of transactions","No, Mak's actions are not consistent with the Standard relating to diligence and reasonable basis",B,The correct Answer is B.,,FRT4,Difficult,Conceptual,C,1
4,21,51,Q1980,"With respect to the GIPS standards, which of the following statements is most accurate? Verification:",GIPS compliance is mandatory if the firm claims GIPS compliance.,It is performed by the firm when self-regulating and certifying its own compliance.,tests whether the firm's processes are designed to present performance results in compliance with the GIPS standards.,C,"The correct Answer is C. GIPS verification requires an independent third-party verification firm to ensure compliance with GIPS standards, providing assurance on the firm’s adherence to these standards.",,,Medium,Conceptual,E,1
4,18,43,Q1981,"Johnny Lumunon, CFA, shows prospective clients the investment performance of an account with ""balanced"" investment objectives and highlights how account has outperformed the benchmark in the last 10 years. He does not disclose that this is the best performing account, and that half of the accounts with ""balanced"" investment objectives managed by his firm underperformed the benchmark during the same period . Lumunon has most likely violated the Standard(s) relating to :",only misrepresentation.,only performance presentation.,both misrepresentation and performance presentation.,C,"The correct Answer is C. Under Standard I(C), Misrepresentation, members are prohibited from misrepresenting or omitting critical information in any professional activities to ensure accuracy and honesty in all communications.",,,Difficult,Conceptual,,1
4,20,22,Q1982,"Jordan Kope, CFA, is an analyst with a hedge fund and works closely with Deepa Bose who earned her CFA designation 15 years ago. Kope becomes aware that Bose uses her CFA designation even though she no longer pays her membership dues. During several meetings that Bose and Kope have with the firm's clients, Bose emphasizes that all her team members, including herself, are CFA charterholders.To be consistent with the standard , Kope should : ",only dissociate himself from activities involving Bose.,only report Bose's conduct to the fund's compliance department.,dissociate himself from activities involving Bose and report Bose's conduct to the fund's compliance department.,C,"The correct Answer is C. According to Standard I(A), Knowledge of the Law, members and candidates must not knowingly participate or assist in and must dissociate from any violation of laws, rules, or regulations. Kope's silence and failure to dissociate from Bose's misconduct represents a failure to comply with this standard.",,,Medium,Conceptual,C,1
4,13,48,Q1983,"According to the recommended procedures for compliance with the Standard relating to responsibilities of supervisors, a firm's code of ethics should:",only be written in plain language.,only be integrated in the firm's compliance procedures.,both be written in plain language and be integrated in the firm’s compliance procedures.,A,"The correct Answer is A. Under Standard IV(C), Responsibilities of Supervisors, codes of ethics should be written in plain language and address fiduciary concepts, helping supervisors ensure that all team members understand and adhere to ethical standards.",,,Easy,Conceptual,,1
4,18,42,Q1984,"According to the Standard relating to diligence and reasonable basis, a member is required to:","exercise diligence, independence, and thoroughness in analyzing investments.",become an expert in the technical aspects of the models used for investment recommendations.,dissociate and remove her name from a company group report if the report does not reflect her opinion.,A,"The correct Answer is A. Standard V(A), Investment Analysis, Recommendations, and Actions - Diligence and Reasonable Basis, mandates that members and candidates exercise thoroughness and appropriate diligence in making investment recommendations.",,,Medium,Conceptual,C,1
4,13,49,Q1985,"After completing Level II of the CFA exam, Aashi Banerjee posts several comments on an online chatroom for CFA program candidates. Which of the following activities would violate the Standard relating to conduct as participants in CFA Institute programs? Comment 1 : CFA Institute must revise the topic area weights on the exam . Comment 2 : There were no questions on GIPS standard .",Comment 1 only.,Comment 2 only.,Both Comment 1 and Comment 2.,B,"The correct Answer is B. Standard VII(A), Conduct as Participants in CFA Institute Programs, prohibits discussing exam-specific content or implying knowledge of actual exam questions, which Banerjee violated.",,,Difficult,Conceptual,E,1
4,15,27,Q1986,Which of the following activities violates the Standard relating to market manipulation? Activity 1 : A member secures a dominant position in futures contracts to influence the price of the underlying . The transaction results in large losses for the member . Activity 2 : A member frequently trades a stock in multiple client accounts with an intent to increase the volume of the stock . The transactions result in large gains for the client .,Activity 1 only.,Activity 2 only.,Both Activity 1 and Activity 2.,C,"The correct Answer is C. Standard II(B), Market Manipulation, prohibits engaging in practices that distort prices or artificially affect market activity to mislead market participants. The activity described constitutes a violation by attempting to manipulate market prices.",,,Difficult,Conceptual,,1
4,21,51,Q1987,Which of the following statements regarding the GIPS standards is accurate?,All fee-paying client portfolios must be included in at least one composite.,All portfolios with the same investment mandate are aggregated into a composite.,Aggregation of portfolios into composites is based on the actual performance of the portfolios every year.,B,"The correct Answer is B. According to the GIPS standards, a composite is required to aggregate portfolios managing similar investment mandates, objectives, or strategies to provide a uniform benchmark for performance assessment.",,,Medium,Conceptual,E,1
4,16,31,Q1988,"Claus Holm, CFA, directs most of his clients' trades to RRT Company (RRT), despite RRT's higher-than-average commissions. In return, RRT refers individual clients to Holm for asset management services. Holm does not disclose the arrangement to his clients or prospective clients.Halm has most likely violated the Standard(s) relating :",only to referral fees.,"only to loyalty, prudence, and care.","both to referral fees and to loyalty, prudence, and care.",C,"The correct Answer is C. Standard III (A) emphasizes loyalty, prudence, and care in managing client resources. Using client brokerage to purchase unnecessary research services without ensuring a corresponding benefit violates this duty of loyalty.",,,Difficult,Conceptual,C,1
4,18,41,Q1989,"Emma Fischer, CFA, is an analyst covering the banking sector. She has declared bankruptcy due to large unpaid personal medical bills. On weekends, she participates in public protests for climate protection. She was recently arrested for trespassing during a protest, which is an act of civil disobedience in her country. Has Fischer violated the Standards ?",No,"Yes, she has violated the Standard relating to misconduct.","Yes, she has violated the Standard relating to loyalty, prudence, and care.",A,"The correct Answer is A. Misconduct like personal bankruptcy does not necessarily reflect on a professional's ability to adhere to ethical standards unless directly related to their professional conduct. Thus, Fischer's bankruptcy and her civil disobedience do not violate Standard I (D) on professional conduct.",,,Medium,Conceptual,E,1
4,13,48,Q1990,Which of the following is a recommended procedure for compliance with the Standard relating to independence and objectivity? Members should encourage their firms to :,prohibit any employee participation in equity-related IPOs.,remove a corporate client company from the member's investment universe and put it on a restricted list if the firm is unwilling to disseminate adverse opinions about the company,"provide every client with the procedures and policies for reporting potentially unethical behavior,violations of regulations , ot other activities that may harm the firm's reputation.",B,The correct Answer is B. Standard I (B) mandates that members and candidates maintain objectivity and independence. Recommending that firms put a controversial client on a restricted list without dissemination of adverse opinions maintains this independence.,,,Easy,Conceptual,,1
4,13,49,Q1991,"According to the recommended procedure for compliance with the Standard relating to misconduct, members should encourage their firms to disseminate a list of potential violations and associated disciplinary sanctions to:",all clients only.,all employees only.,both all clients and all employees.,B,"The correct Answer is B. Standard I (D) requires members to support the principles of ethical conduct by adopting policies that prevent misconduct and promote integrity, further supporting the ethical framework within the profession.",,,Medium,Conceptual,,1
4,13,48,Q1992,"According to the recommended procedures for compliance with the Standard relating to misconduct, members should encourage their firms to:",conduct background checks of all employees at least annually.,develop and adopt a code of ethics to which every employee must subscribe.,check references of potential clients to ensure that they are of good character.,B,"The correct Answer is B. Members should promote the development of a firm’s code of ethics that defines and addresses potential violations and sanctions, fostering a culture of compliance and ethical conduct.",,,Easy,Conceptual,,1
4,16,32,Q1993,"According to the guidance for the Standard relating to loyalty, prudence, and care, which of the following statements is most accurate?",Voting proxies is necessary in all instances.,Members must maximize the economic value of proxies for clients.,Consistent application of proxy policies includes voting with management on all nonroutine governance matters.,B,"The correct Answer is B. Proxies hold significant economic value for clients, and members are tasked with ensuring these assets are managed prudently to maximize client benefits.",,,Medium,Conceptual,C,1
4,15,23,Q1994,"According to the guidance for the Standards, which of the following statements are accurate? Statement 1 : Employees must place employer interests ahead of personal interests in all matters . Statement 2 : Senior management of a member's firm should create financial compensation structures that do not drive unethical behavior.",Statement 1 only.,Statement 2 only.,Both Statement 1 and Statement 2.,B,"The correct Answer is B. Employers are expected to maintain an ethical working environment, with senior management responsible for creating compensation structures that do not incentivize unethical behaviors.",,,Difficult,Conceptual,,1
4,15,24,Q1995,A member believes a colleague is participating in unethical activities at work. The member does not disassociate himself from the activities of his colleague. The member has most likely violated:,only the Standard relating to knowledge of the law.,only the Standard relating to disclosure of conflicts.,both the Standard relating to knowledge of the law and the Standard relating to disclosure of conflicts.,A,"The correct Answer is A. If a member knows of illegal or unethical actions within their firm or by a client, they must disassociate from such activities to avoid complicity in any unethical practices.",,,Difficult,Conceptual,,1
4,16,32,Q1996,"According to the Standard relating to loyalty, members must:",place their employer’s interest above their personal interests in all matters.,notify their employer before engaging in an independent practice while still employed.,never act against their employer’s interests when complying with their duties to clients.,B,The correct Answer is B. Members are allowed to prepare for independent ventures while employed but must discuss their plans with their current employer and receive approval before engaging with potential clients.,,,Medium,Conceptual,C,1
4,16,32,Q1997,"Andrew Milton, CFA, is an advisor working with individual clients. Milton is careful to recommend investments for his clients that are consistent with their overall objectives and risk tolerance. If all other variables are equal in an investment choice, Milton uses the proprietary products.Milton does not inform the clients of this bonus . Has milton most likely violated the standards ?",No.,"Yes, the Standard relating to suitability.","Yes, the Standard relating to loyalty, prudence, and care.",C,"The correct Answer is C. Members must act in the best interest of their clients and disclose any conflicts, such as receiving bonuses for the use of the firm's funds, which may not align with the client’s best interests.",,,Medium,Conceptual,E,1
4,13,49,Q1998,Which of the following are among the recommended procedures for compliance with the Standard relating to independence and objectivity? Procedure 1 : Impose limits on investment personnel acquiring securities in private placements. Procedure 2 : Prohibit employees from receiving reimbursement from corporate issuers for air transportation when attending meetings at the issuers' headquarters.,Both Procedure 1 and Procedure 2.,Both Procedure 1 and Procedure 3.,Both Procedure 2 and Procedure 3,A,The correct Answer is A. Upholding independence and objectivity is crucial for members in ensuring their professional judgments are not compromised by biases or pressures from external influences.,,,Medium,Conceptual,C,1
4,17,38,Q1999,"Vinod Shah, CFA, is a fund manager for the employee pension plan of Jupiter Corporation, a publicly traded company. Shah owes a primary duty of loyalty, prudence, and care to the:",shareholders of Jupiter.,management of Jupiter.,beneficiaries of the pension fund.,C,"The correct Answer is C. In pension funds and other managed funds, the fiduciary duty lies not with the fund manager but with the beneficiaries of these funds. Thus, loyalty and care should prioritize the ultimate beneficiaries rather than the entity hiring the fund manager.",,,Easy,Conceptual,,1
4,15,27,Q2000,"Min Joon, CFA, works in the client services department at an investment firm. Joon has been short-selling stocks on his personal account in anticipation of a significant decline in the market. This transactions do not disadvantage his firm's clients. Following a dramatic rise in the markets, Joon is unable to cover his short positions and is forced to declare personal bankruptcy.Has Joan violated the Standards ?",No,"Yes, the Standard relating to misconduct.","Yes, the Standard relating to loyalty, prudence, and care.",A,"The correct Answer is A. Misconduct in any professional context, including acts of dishonesty or fraud, undermines a member's professional integrity. Declaring bankruptcy or performing personal acts are not deemed misconduct unless they involve deceit or fraud affecting professional integrity.",,,Medium,Conceptual,,1
4,13,48,Q2001,"Which of the following is a recommended procedure for compliance with the Standard relating to performance presentation? When presenting performance, members should:",exclude terminated accounts.,use a single representative account for each investment mandate.,disclose that investment results are simulated when model results are used.,C,"The correct Answer is C. Full disclosure of performance presentation is essential. This includes the methodology of result calculation, whether simulated or actual, ensuring transparency in reporting and adherence to the GIPS standards.",,,Easy,Conceptual,C,1
4,15,23,Q2002,"Mary Rein, CFA, makes a brief presentation about her firm's performance to a group of current and prospective clients. Is Rein required to make available the detailed information supporting her presentation to clients upon request?",No.,"Yes, only to current clients.","Yes, both to current clients and to prospective clients.",C,"The correct answer is C. In brief performance presentations, it is required to make available upon request the detailed supporting information to ensure transparency and to help clients understand the limits of the information presented.",,,Medium,Conceptual,,1
4,16,34,Q2003,"According to the Standard relating to suitability, a member who manages a mutual fund is required:",only to invest in a manner consistent with the fund's stated mandate.,only to determine the suitability of the fund for investors who may be purchasing shares in the fund.,both to invest in a manner consistent with the fund's stated mandate and to determine the suitability of the fund for investors who may be purchasing shares in the fund.,A,"The correct answer is A. Members and candidates who manage funds must invest according to the fund's stated objectives and ensure investments are suitable for the fund's strategy, thus fulfilling their responsibility towards the mandate.",,,Difficult,Conceptual,E,1
4,15,23,Q2004,"Richard Hicks, CFA, is an investment advisor. A friend asks Hicks to share client contracts in order to solicit charitable donations. Hicks responds that he is unable to share current clients' contact details and instead provides e-mail addresses of several former clients.The Next day , Hicks Finds out that one of his colleagues , Claudia Moll , a Level 3 Candidate in the CFA Program , has failed to inform her supervisor about her personal bankruptcy resulting from large medical bills . Have the standards most likely been violated ?",No.,"Yes, by Moll.","Yes, by Hicks.",C,"The correct answer is C. Members and candidates must protect the confidentiality of client information perpetually. Disclosing or failing to secure the confidentiality of client information, even after the termination of the client relationship, is a violation.",,,Medium,Conceptual,C,1
4,13,49,Q2005,"Tom Dixon, CFA, provides a brief summary of his performance track record to new clients. He indicates that further information is available upon request. Is this track record likely violated the Standards?",No.,"Yes, by indicating that further information is available upon request.","Yes, by telling his clients they can expect a return of 5% in the next three years.",C,"The correct answer is C. If the performance presentation is brief, it should still include detailed information to support past performance claims upon request, ensuring clients understand what they are being shown is only a summary.",,,Easy,Conceptual,,1
4,17,39,Q2006,"According to the Standard relating to additional compensation arrangements, a member who is offered additional compensation from a third party for services that conflict with his employer's interest:",is prohibited from accepting the additional compensation in all cases.,is required to notify his employer about compensation from the third party immediately after receiving it.,must obtain written consent from his employer and the third party offering fees to the member before accepting the compensation.,C,The correct answer is C. Members and candidates must not accept any form of compensation that might create a conflict of interest without written consent from all affected parties.,,,Medium,Conceptual,C,1
